epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,771.854,0.95871,1.17282,1.04224,0.86058,1,0.94984,0.6077,1.19786,1.58761,1.15995,0.0008912,0.0008912,0.0008912
44,789.077,1.06326,1.23887,1.03271,0.94732,1,0.98786,0.63776,1.16488,1.44546,1.16601,0.0008648,0.0008648,0.0008648
45,806.754,0.94001,1.16721,1.01654,0.94732,1,0.98786,0.63776,1.16488,1.44546,1.16601,0.0008384,0.0008384,0.0008384
46,825.905,1.02731,1.19369,1.06743,1,0.9377,0.99045,0.56853,1.33343,1.53223,1.26498,0.000812,0.000812,0.000812
47,844.008,1.06758,1.14119,1.06975,0.99302,1,0.995,0.54797,1.39498,1.59597,1.31797,0.0007856,0.0007856,0.0007856
48,860.691,0.98186,1.07888,0.98221,0.9513,0.97725,0.97833,0.5892,1.3132,1.47602,1.22268,0.0007592,0.0007592,0.0007592
49,877.685,0.93076,1.11425,0.99399,0.9513,0.97725,0.97833,0.5892,1.3132,1.47602,1.22268,0.0007328,0.0007328,0.0007328
50,894.875,0.90288,1.1189,0.97144,0.94799,1,0.9831,0.60369,1.2717,1.34735,1.20402,0.0007064,0.0007064,0.0007064
51,911.55,0.84797,1.02319,0.98222,0.94965,1,0.97119,0.5773,1.30249,1.33647,1.2108,0.00068,0.00068,0.00068
52,928.498,0.844,0.97253,0.99042,0.95215,0.99511,0.9831,0.59263,1.32088,1.3491,1.24288,0.0006536,0.0006536,0.0006536
53,945.69,0.91636,1.02944,1.00011,0.95215,0.99511,0.9831,0.59263,1.32088,1.3491,1.24288,0.0006272,0.0006272,0.0006272
54,962.989,0.89037,0.96461,0.97907,0.89765,0.95,0.97319,0.5977,1.31022,1.3602,1.22956,0.0006008,0.0006008,0.0006008
55,979.75,0.78917,0.94455,0.97117,0.90392,0.94116,0.96062,0.62006,1.28274,1.41011,1.20151,0.0005744,0.0005744,0.0005744
56,996.388,0.89749,1.01102,0.99896,0.98039,0.9,0.98795,0.65387,1.21605,1.38469,1.15118,0.000548,0.000548,0.000548
57,1013.28,0.80133,0.92262,0.96694,0.98039,0.9,0.98795,0.65387,1.21605,1.38469,1.15118,0.0005216,0.0005216,0.0005216
58,1030.48,0.79253,0.91585,0.95512,1,0.99556,0.995,0.65152,1.22836,1.3627,1.1379,0.0004952,0.0004952,0.0004952
59,1047.08,0.79009,0.8857,0.93491,1,0.99438,0.995,0.64368,1.27555,1.29404,1.14883,0.0004688,0.0004688,0.0004688
60,1064.13,0.78896,0.90208,0.95036,0.94959,1,0.995,0.66443,1.24469,1.25732,1.12576,0.0004424,0.0004424,0.0004424
